iter	Passed	Remaining
638	2294	1296
639	2304	1296
640	2306	1291
641	2308	1287
642	2311	1283
643	2314	1279
644	2315	1274
645	2323	1273
646	2326	1269
647	2328	1264
648	2331	1260
649	2334	1256
650	2338	1253
651	2340	1249
652	2342	1244
653	2344	1240
654	2349	1237
655	2353	1234
656	2356	1230
657	2363	1228
658	2367	1224
659	2369	1220
660	2370	1215
661	2372	1211
662	2378	1209
663	2384	1206
664	2392	1205
665	2396	1202
666	2400	1198
667	2409	1197
668	2411	1193
669	2413	1188
670	2416	1184
671	2420	1181
672	2422	1177
673	2425	1173
674	2427	1168
675	2428	1164
676	2432	1160
677	2435	1156
678	2437	1152
679	2439	1147
680	2450	1147
681	2451	1143
682	2453	1138
683	2455	1134
684	2457	1130
685	2466	1128
686	2468	1124
687	2470	1120
688	2473	1116
689	2478	1113
690	2480	1109
691	2481	1104
692	2484	1100
693	2487	1096
694	2492	1093
695	2494	1089
696	2497	1085
697	2500	1081
698	2507	1079
699	2509	1075
700	2511	1071
701	2513	1066
702	2514	1062
703	2520	1059
704	2522	1055
705	2523	1051
706	2525	1046
707	2527	1042
708	2529	1038
709	2535	1035
710	2537	1031
711	2541	1027
712	2547	1025
713	2551	1022
714	2553	1017
715	2556	1013
716	2559	1010
717	2563	1007
718	2568	1003
719	2570	999
720	2576	997
721	2581	994
722	2584	990
723	2587	986
724	2595	984
725	2598	980
726	2600	976
727	2601	972
728	2610	970
729	2611	966
730	2613	961
731	2615	957
732	2618	953
733	2621	950
734	2625	946
735	2627	942
736	2629	938
737	2632	934
738	2635	930
739	2639	927
740	2646	925
741	2649	921
742	2654	918
743	2657	914
744	2661	911
745	2663	906
746	2666	903
747	2672	900
748	2676	896
749	2678	892
750	2680	888
751	2681	884
752	2690	882
753	2694	879
754	2699	875
755	2703	872
756	2711	870
757	2714	866
758	2719	863
759	2722	859
760	2725	855
761	2728	852
762	2733	849
763	2736	845
764	2739	841
765	2743	838
766	2748	834
767	2750	830
768	2753	827
769	2755	823
770	2761	820
771	2766	817
772	2769	813
773	2775	810
774	2778	806
775	2781	802
776	2791	801
777	2794	797
778	2799	794
779	2810	792
780	2813	789
781	2815	785
782	2818	781
783	2825	778
784	2827	774
785	2829	770
786	2831	766
787	2849	766
788	2856	763
789	2859	760
790	2869	758
791	2873	754
792	2882	752
793	2884	748
794	2886	744
795	2889	740
796	2894	737
797	2897	733
798	2900	729
799	2903	725
800	2908	722
801	2911	718
802	2915	715
803	2922	712
804	2944	713
805	2952	710
806	2960	708
807	2963	704
808	2967	700
809	2975	697
810	2978	694
811	2980	690
812	2983	686
813	2987	682
814	2989	678
815	2992	674
816	2994	670
817	2998	667
818	3002	663
819	3004	659
820	3006	655
821	3007	651
822	3009	647
823	3012	643
824	3016	639
825	3017	635
826	3019	631
827	3021	627
828	3023	623
829	3029	620
830	3032	616
831	3034	612
832	3037	608
833	3041	605
834	3044	601
835	3054	599
836	3056	595
837	3058	591
838	3060	587
839	3062	583
840	3070	580
841	3072	576
842	3075	572
843	3077	568
844	3080	565
845	3082	561
846	3084	557
847	3087	553
848	3089	549
849	3094	546
850	3096	542
851	3098	538
852	3099	534
853	3103	530
854	3108	527
855	3114	524
856	3118	520
857	3122	516
858	3124	512
859	3126	508
860	3128	505
861	3134	501
862	3136	497
863	3138	493
864	3139	489
865	3141	486
866	3143	482
867	3147	478
868	3150	474
869	3153	471
870	3155	467
871	3156	463
872	3160	459
873	3163	456
874	3167	452
875	3169	448
876	3175	445
877	3177	441
878	3179	437
879	3181	433
880	3183	430
881	3190	426
882	3193	423
883	3195	419
884	3197	415
885	3203	412
886	3207	408
887	3211	405
888	3218	401
889	3221	398
890	3223	394
891	3225	390
892	3226	386
893	3234	383
894	3236	379
895	3238	375
896	3240	372
897	3246	368
898	3248	365
899	3250	361
900	3252	357
901	3254	353
902	3260	350
903	3262	346
904	3265	342
905	3277	340
906	3281	336
907	3283	332
908	3293	329
909	3297	326
910	3299	322
911	3305	318
912	3309	315
913	3311	311
914	3313	307
915	3317	304
916	3321	300
917	3323	296
918	3325	293
919	3327	289
920	3340	286
921	3344	282
922	3348	279
923	3350	275
924	3353	271
925	3363	268
926	3366	265
927	3370	261
928	3378	258
929	3380	254
930	3382	250
931	3385	246
932	3387	243
933	3391	239
934	3393	235
935	3399	232
936	3403	228
937	3408	225
938	3412	221
939	3417	218
940	3424	214
941	3428	211
942	3436	207
943	3439	204
944	3442	200
945	3455	197
946	3457	193
947	3469	190
948	3472	186
949	3475	182
950	3478	179
951	3497	176
952	3507	172
953	3510	169
954	3518	165
955	3521	162
956	3524	158
957	3528	154
958	3534	151
959	3537	147
960	3540	143
961	3544	140
962	3548	136
963	3552	132
964	3557	129
965	3561	125
966	3563	121
967	3566	117
968	3575	114
969	3577	110
970	3582	107
971	3587	103
972	3590	99
973	3592	95
974	3599	92
975	3602	88
976	3605	84
977	3607	81
978	3615	77
979	3619	73
980	3623	70
981	3628	66
982	3631	62
983	3634	59
984	3636	55
985	3639	51
986	3645	48
987	3647	44
988	3650	40
989	3654	36
990	3658	33
991	3661	29
992	3664	25
993	3667	22
994	3672	18
995	3675	14
996	3679	11
997	3683	7
998	3686	3
999	3689	0
